,year,month,date,region,district,market,commodity,price
132,2015,january,2015-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),100.56
133,2015,february,2015-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),100.56
134,2015,march,2015-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),122.79
135,2015,april,2015-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),122.79
136,2015,may,2015-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),122.79
137,2015,june,2015-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),135
138,2015,july,2015-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),133.34
139,2015,august,2015-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),154.21
140,2015,september,2015-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),149.75
141,2015,october,2015-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),155.97
142,2015,november,2015-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),169.4
143,2015,december,2015-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),188.55
144,2016,january,2016-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),227.12
145,2016,february,2016-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),269.6
146,2016,march,2016-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),258.87
147,2016,april,2016-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),175.57
148,2016,may,2016-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),194.95
149,2016,june,2016-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),249.21
150,2016,july,2016-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),240.6
151,2016,august,2016-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),238.38
152,2016,september,2016-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),237.57
153,2016,october,2016-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),237.84
154,2016,november,2016-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),245.7
155,2016,december,2016-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),241.15
164,2017,january,2017-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),238.5
165,2017,february,2017-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),212.48
166,2017,march,2017-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),196.53
167,2017,april,2017-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),159.38
168,2017,may,2017-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),105.27
169,2017,june,2017-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),96.67
170,2017,july,2017-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),95.24
171,2017,august,2017-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),101.58
172,2017,september,2017-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),108.12
173,2017,october,2017-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),109.83
174,2017,november,2017-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),105.75
175,2017,december,2017-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),103.08
176,2018,january,2018-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),118.27
177,2018,february,2018-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),141.22
178,2018,march,2018-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),121.71
179,2018,april,2018-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),114.1
180,2018,may,2018-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),115.58
181,2018,june,2018-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),120.28
182,2018,july,2018-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),132.41
183,2018,august,2018-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),139.8
184,2018,september,2018-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),142.62
185,2018,october,2018-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),146.77
186,2018,november,2018-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),155.6
187,2018,december,2018-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),164.87
188,2019,january,2019-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),202.39
189,2019,february,2019-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),193.72
190,2019,march,2019-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),217.66
192,2019,april,2019-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),159.74
194,2019,may,2019-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),142.42
196,2019,june,2019-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),161.76
198,2019,july,2019-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),223.88
199,2019,august,2019-08-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),236.74
200,2019,september,2019-09-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),242.99
201,2019,october,2019-10-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),255.34
202,2019,november,2019-11-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),288.1
203,2019,december,2019-12-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),300.79
213,2020,january,2020-01-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),337.31
215,2020,february,2020-02-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),338.62
217,2020,march,2020-03-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),265.45
218,2020,april,2020-04-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),178.34
221,2020,may,2020-05-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),183.33
222,2020,june,2020-06-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),185.33
223,2020,july,2020-07-15T00:00:00.000,Southern Region,Blantyre,Lunzu,Maize (new harvest),188.33
