Year,Month,Rainfall,Temp
2010,Feb,405.5,25.8
2010,Mar,194.5,21.2
2010,Apr,131.9,22.7
2010,May,0,20.3
2010,Jun,8.6,18
2010,Jul,23.3,16
2010,Aug,15.5,17.5
2010,Sep,0.6,20
2010,Oct,8.2,29
2010,Nov,162.5,27
2010,Dec,306.3,24
2011,Jan,215.6,22
2011,Feb,76.7,25.8
2011,Mar,211.5,21.2
2011,Apr,85.9,22.7
2011,May,1.1,20.3
2011,Jun,0.7,18
2011,Jul,8.2,16
2011,Aug,2,17.5
2011,Sep,0,20
2011,Oct,74,29
2011,Nov,0,27
2011,Dec,126.9,24
2012,Jan,349.4,25
2012,Feb,112.2,25.8
2012,Mar,204.8,21.2
2012,Apr,35.3,22.7
2012,May,3.5,20.3
2012,Jun,8,18
2012,Jul,0,16
2012,Aug,0.5,17.5
2012,Sep,0,20
2012,Oct,34.8,29
2012,Nov,14.7,27
2012,Dec,289.4,24
2013,Jan,296,22.5
2013,Feb,404.5,25.8
2013,Mar,198.7,21.2
2013,Apr,22.7,22.7
2013,May,7.5,20.3
2013,Jun,30.7,18
2013,Jul,5.1,16
2013,Aug,1.7,17.5
2013,Sep,3.7,20
2013,Oct,80.2,29
2013,Nov,57.4,27
2013,Dec,205.6,24
2014,Jan,260.8,21.7
2014,Feb,215.2,25.8
2014,Mar,36.8,21.2
2014,Apr,25,22.7
2014,May,15.5,20.3
2014,Jun,6.1,18
2014,Jul,24.9,16
2014,Aug,0,17.5
2014,Sep,7.9,20
2014,Oct,9.7,29
2014,Nov,1.2,27
2014,Dec,209.9,24
2015,Jan,886.9,23
2015,Feb,216.9,24.6
2015,Mar,89.5,22.5
2015,Apr,131.1,23.8
2015,May,0.7,20
2015,Jun,2.5,17
2015,Jul,0,15
2015,Aug,0,16.2
2015,Sep,2,20.7
2015,Oct,18.9,30.1
2015,Nov,39.7,28.9
2015,Dec,194.6,31
2016,Jan,201.2,24
2016,Feb,215.1,25.8
2016,Mar,105.5,21.2
2016,Apr,14.8,22.7
2016,May,6.1,20.3
2016,Jun,7.4,18
2016,Jul,25,16
2016,Aug,1.5,17.5
2016,Sep,0,20
2016,Oct,10.6,29
2016,Nov,146.4,27
2016,Dec,219.6,24
2017,Jan,209.3,21
2017,Feb,180.7,21
2017,Mar,131.4,26
2017,Apr,89.7,24
2017,May,5.6,17
2017,Jun,0.1,18
2017,Jul,1.5,15
2017,Aug,1.9,16.5
2017,Sep,0,17
2017,Oct,21.2,25
2017,Nov,114.4,27.1
2017,Dec,198.8,25.3
2018,Jan,115.8,21
2018,Feb,263.5,21
2018,Mar,78.6,26
2018,Apr,130.6,24
2018,May,11,17
2018,Jun,20,18
2018,Jul,270,16
2018,Aug,0,24
2018,Sep,7.9,25.4
2018,Oct,29.4,28
2018,Nov,127.8,31
2018,Dec,420.5,28.8
2019,Jan,415,21
2019,Feb,162.2,21
2019,Mar,369.1,26
2019,Apr,66.6,24
2019,May,16.4,17
2019,Jun,13.6,18
2019,Jul,8.5,20
2019,Aug,5,22.4
2019,Sep,3.7,25
2019,Oct,26.6,29
2019,Nov,124.6,29.6
2019,Dec,212.9,25
2020,Jan,532,26
2020,Feb,194.7,25.8
2020,Mar,27.1,21.2
2020,Apr,14.8,22.7
2020,May,11.8,20.3
2020,Jun,1.2,18
2020,Jul,21.7,16
2020,Aug,1.5,17.5
2020,Sep,0,20
2020,Oct,0,29
2020,Nov,68,27
2020,Dec,102.9,24
2021,Jan,290.7,24.8
2021,Feb,247.5,25.8
2021,Mar,102.3,21.2
2021,Apr,17.6,22.7
2021,May,4.9,20.3
2021,Jun,5.6,18
2021,Jul,17.7,16
2021,Aug,0.3,17.5
2021,Sep,0,20
2021,Oct,16.4,29
2021,Nov,52.1,27
2021,Dec,85.3,24
2022,Jan,573.7,25.4
2022,Feb,268.1,27
2022,Mar,216.6,22.2
2022,Apr,43.5,25
