year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2006,october,10/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,22,0.1594
2006,november,11/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,22.2,0.167
2006,december,12/15/2006,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,24,0.1788
2007,january,1/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,22.73,0.1699
2007,february,2/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,19,0.1411
2007,march,3/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,19.33,0.1431
2007,april,4/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,13.52,0.0965
2007,may,5/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,9.5,0.0701
2007,june,6/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,10,0.0732
2007,july ,7/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,15.75,0.1123
2007,august,8/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,15.4,0.1119
2007,september,9/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,16.25,0.1162
2007,october,10/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,25.2,0.1835
2007,november,11/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,29.25,0.2132
2007,december,12/15/2007,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,34.83,0.2486
2008,january,1/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,38.12,0.2752
2008,february,2/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,47.5,0.3447
2008,march,3/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,35,0.2491
2008,april,4/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31,0.224
2008,may,5/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,27.5,0.1987
2008,june,6/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,38.67,0.2752
2008,july ,7/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,55.2,0.3973
2008,august,8/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,66.79,0.4685
2008,september,9/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,74.1,0.5411
2008,october,10/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,55.62,0.3946
2008,november,11/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,60.26,0.4286
2008,december,12/15/2008,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,78.16,0.5524
2009,january,1/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,78.16,0.5643
2009,february,2/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,79.86,0.568
2009,april,4/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,32.43,0.229
2009,may,5/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.95,0.2307
2009,june,6/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,43.81,0.3094
2009,october,10/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,42.88,0.3041
2009,november,11/15/2009,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,43.69,0.3076
2010,january,1/15/2010
2010,february,2/15/2010
2010,march,3/15/2010
2010,april,4/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,39.67,0.2644
2010,june,6/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.65,0.2043
2010,july,7/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.65,0.2043
2010,august,8/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.42,0.2084
2010,september,9/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.84,0.2116
2010,october,10/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.05,0.1997
2010,november,11/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,28.97,0.1931
2010,december,12/15/2010,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,31.27,0.2085
2011,january,1/15/2011,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,30.71,0.2037
