year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2013,march,3/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,175.53,0.4809
2013,april,4/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,106.2,0.2723
2013,may,5/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,81.98,0.2369
2013,june,6/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,90.32,0.2718
2013,july,7/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,115.62,0.3558
2013,august,8/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,142.75,0.4461
2013,september,9/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,129.8,0.3661
2013,october,10/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,129.49,0.3648
2013,november,11/15/2013,
2013,december,12/15/2013,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,161.9,0.3799
2014,january,1/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,157.67,0.3583
2014,february,2/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,126.7,0.2955
2014,march,3/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,115.45,0.277
2014,april,4/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,67.22,0.1746
2014,may,5/15/2014,
2014,june,6/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,74.52,0.1872
2014,july,7/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,76.91,0.1998
2014,august,8/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,77.49,0.2013
2014,september,9/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,79.73,0.2071
2014,october,10/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,76.28,0.1832
2014,november,11/15/2014,
2014,december,12/15/2014,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,92.13,0.1957
2015,january,1/15/2015,
2015,february,2/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,100.56,0.2242
2015,march,3/15/2015,
2015,april,4/15/2015,
2015,may,5/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,122.79,0.2854
2015,june,6/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,135,0.316
2015,july,7/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,133.34,0.2984
2015,august,8/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,154.21,0.2866
2015,september,9/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,149.75,0.2695
2015,october,10/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,155.97,0.2839
2015,november,11/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,actual,Retail,MWK,169.4,0.2879
2015,december,12/15/2015,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,188.55,0.3051
2016,january,1/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,227.12,0.3302
2016,february,2/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,269.6,0.3648
2016,march,3/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,258.87,0.3761
2016,april,4/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,175.57,0.2596
2016,may,5/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,194.95,0.2775
2016,june,6/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,249.21,0.355
2016,july,7/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,240.6,0.3412
2016,august,8/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,238.38,0.3357
2016,september,9/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,237.57,0.3335
2016,october,10/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,237.84,0.3278
2016,november,11/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,245.7,0.3449
2016,december,12/15/2016,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,241.15,0.3368
2016,may,5/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,240,0.3416
2016,june,6/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,246,0.3504
2016,july,7/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,256.77,0.3642
2016,august,8/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,245,0.3451
2016,september,9/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,251.67,0.3533
2016,october,10/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,238.96,0.3294
2016,november,11/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,242,0.3397
2016,december,12/15/2016,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,240,0.3352
2017,january,1/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,238.5,0.3271
2017,february,2/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,212.48,0.2967
2017,march,3/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,196.53,0.2744
2017,april,4/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,159.38,0.2179
2017,may,5/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,105.27,0.1467
2017,june,6/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,96.67,0.1349
2017,july,7/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,95.24,0.1306
2017,august,8/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,101.58,0.1419
2017,september,9/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,108.12,0.151
2017,october,10/15/2017,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,109.83,0.1502
